Series Code,Line No.,Starting Date,Starting No.,Ending No.,Warning No.,Increment-by No.,Last No. Used,Open,Last Date Used
LOT-NO,32790000,2024/1/1,ULOT-240101-0001,ULOT-240101-9999,,1,,Yes,
LOT-NO,32800000,2024/1/2,ULOT-240102-0001,ULOT-240102-9999,,1,ULOT-240102-0592,Yes,2024/1/2
LOT-NO,32810000,2024/1/3,ULOT-240103-0001,ULOT-240103-9999,,1,ULOT-240103-0943,Yes,2024/1/3
LOT-NO,32820000,2024/1/4,ULOT-240104-0001,ULOT-240104-9999,,1,ULOT-240104-0408,Yes,2024/1/4
LOT-NO,32830000,2024/1/5,ULOT-240105-0001,ULOT-240105-9999,,1,ULOT-240105-0249,Yes,2024/1/5
LOT-NO,32840000,2024/1/6,ULOT-240106-0001,ULOT-240106-9999,,1,,Yes,
LOT-NO,32850000,2024/1/7,ULOT-240107-0001,ULOT-240107-9999,,1,,Yes,
LOT-NO,32860000,2024/1/8,ULOT-240108-0001,ULOT-240108-9999,,1,ULOT-240108-0638,Yes,2024/1/8
LOT-NO,32870000,2024/1/9,ULOT-240109-0001,ULOT-240109-9999,,1,ULOT-240109-0383,Yes,2024/1/9
LOT-NO,32880000,2024/1/10,ULOT-240110-0001,ULOT-240110-9999,,1,ULOT-240110-0440,Yes,2024/1/10
LOT-NO,32890000,2024/1/11,ULOT-240111-0001,ULOT-240111-9999,,1,ULOT-240111-0190,Yes,2024/1/11
LOT-NO,32900000,2024/1/12,ULOT-240112-0001,ULOT-240112-9999,,1,ULOT-240112-0252,Yes,2024/1/12
LOT-NO,32910000,2024/1/13,ULOT-240113-0001,ULOT-240113-9999,,1,,Yes,
LOT-NO,32920000,2024/1/14,ULOT-240114-0001,ULOT-240114-9999,,1,,Yes,
LOT-NO,32930000,2024/1/15,ULOT-240115-0001,ULOT-240115-9999,,1,,Yes,
LOT-NO,32940000,2024/1/16,ULOT-240116-0001,ULOT-240116-9999,,1,ULOT-240116-0585,Yes,2024/1/16
LOT-NO,32950000,2024/1/17,ULOT-240117-0001,ULOT-240117-9999,,1,ULOT-240117-0446,Yes,2024/1/17
LOT-NO,32960000,2024/1/18,ULOT-240118-0001,ULOT-240118-9999,,1,ULOT-240118-0258,Yes,2024/1/18
LOT-NO,32970000,2024/1/19,ULOT-240119-0001,ULOT-240119-9999,,1,ULOT-240119-0303,Yes,2024/1/19
LOT-NO,32980000,2024/1/20,ULOT-240120-0001,ULOT-240120-9999,,1,,Yes,
LOT-NO,32990000,2024/1/21,ULOT-240121-0001,ULOT-240121-9999,,1,,Yes,
LOT-NO,33000000,2024/1/22,ULOT-240122-0001,ULOT-240122-9999,,1,ULOT-240122-0459,Yes,2024/1/22
LOT-NO,33010000,2024/1/23,ULOT-240123-0001,ULOT-240123-9999,,1,ULOT-240123-0421,Yes,2024/1/23
LOT-NO,33020000,2024/1/24,ULOT-240124-0001,ULOT-240124-9999,,1,ULOT-240124-0970,Yes,2024/1/24
LOT-NO,33030000,2024/1/25,ULOT-240125-0001,ULOT-240125-9999,,1,ULOT-240125-0358,Yes,2024/1/25
LOT-NO,33040000,2024/1/26,ULOT-240126-0001,ULOT-240126-9999,,1,ULOT-240126-0541,Yes,2024/1/26
LOT-NO,33050000,2024/1/27,ULOT-240127-0001,ULOT-240127-9999,,1,ULOT-240127-0181,Yes,2024/1/27
LOT-NO,33060000,2024/1/28,ULOT-240128-0001,ULOT-240128-9999,,1,,Yes,
LOT-NO,33070000,2024/1/29,ULOT-240129-0001,ULOT-240129-9999,,1,ULOT-240129-0256,Yes,2024/1/29
LOT-NO,33080000,2024/1/30,ULOT-240130-0001,ULOT-240130-9999,,1,ULOT-240130-0564,Yes,2024/1/30
LOT-NO,33090000,2024/1/31,ULOT-240131-0001,ULOT-240131-9999,,1,ULOT-240131-0409,Yes,2024/1/31
LOT-NO,33100000,2024/2/1,ULOT-240201-0001,ULOT-240201-9999,,1,ULOT-240201-0119,Yes,2024/2/1
LOT-NO,33110000,2024/2/2,ULOT-240202-0001,ULOT-240202-9999,,1,ULOT-240202-1574,Yes,2024/2/2
LOT-NO,33120000,2024/2/3,ULOT-240203-0001,ULOT-240203-9999,,1,,Yes,
LOT-NO,33130000,2024/2/4,ULOT-240204-0001,ULOT-240204-9999,,1,,Yes,
LOT-NO,33140000,2024/2/5,ULOT-240205-0001,ULOT-240205-9999,,1,ULOT-240205-0695,Yes,2024/2/5
LOT-NO,33150000,2024/2/6,ULOT-240206-0001,ULOT-240206-9999,,1,ULOT-240206-0592,Yes,2024/2/6
LOT-NO,33160000,2024/2/7,ULOT-240207-0001,ULOT-240207-9999,,1,ULOT-240207-0523,Yes,2024/2/7
LOT-NO,33170000,2024/2/8,ULOT-240208-0001,ULOT-240208-9999,,1,ULOT-240208-0388,Yes,2024/2/8
LOT-NO,33180000,2024/2/9,ULOT-240209-0001,ULOT-240209-9999,,1,ULOT-240209-0483,Yes,2024/2/9
LOT-NO,33190000,2024/2/10,ULOT-240210-0001,ULOT-240210-9999,,1,ULOT-240210-0011,Yes,2024/2/10
LOT-NO,33200000,2024/2/11,ULOT-240211-0001,ULOT-240211-9999,,1,,Yes,
